Dataset,Filename,Score R,Score D,GT,Our,covid_net_pred_time,lung_segment_1,lung_segment_2,lung_segment_3,lung_segment_4,lung_segment_5,lung_segment_6,BSNet,CovidNet,Subset,Label
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200327160432430120.1203801020003.png,3.0,4.0,3.5,4,0.0759997367858886,0.8310929748759801,0.7117087703546504,0.4700468206010644,0.5913618923580556,0.6913297647555994,0.0325646401118099,6,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200327151518468570.1003000225002.png,1.0,5.0,3.0,1,0.0839991569519043,0.1153393759081159,0.4778843179709248,0.2528819444444444,0.5265207877461707,0.2380910529091228,0.0,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.202003211812003285.1003000225002.png,2.0,4.0,3.0,3,0.0809998512268066,0.4575559516735987,0.5191571653035736,0.29913112164297,0.5317075211244039,0.5225641448725352,0.1213543830494391,6,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.202003241226081857.1203801020003.png.bmp,6.0,6.0,6.0,0,0.0770292282104492,0.0,0.0,0.0,0.0,0.0,0.0,4,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200322102521497410.1203801020003.png,1.0,4.0,2.5,1,0.0850276947021484,0.6573385518590998,0.4516981578635951,0.0705290654606417,0.4141038713284873,0.0,0.0,4,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.202003281918584533.1203801020003.png.bmp,5.0,5.0,5.0,4,0.0750989913940429,0.8061793279184584,0.753326184518845,0.5064447902949041,0.4653741544040728,0.753977925559695,0.2765148849320853,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200401122015054240.1203801020003.png,3.0,,3.0,2,0.0789980888366699,0.5853429141115835,0.3637800015047777,0.1236023196755486,0.4284692686966013,0.7720571384920938,0.2547722831805201,4,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200324165957625920.1003000225002.png,3.0,5.0,4.0,4,0.0860016345977783,0.7457722872961471,0.7713935976853741,0.1558309859154929,0.4175,0.6268429289185404,0.5019585441488493,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200321001546031810.1003000225002.png,4.0,6.0,5.0,4,0.0810554027557373,0.661082201633033,0.6319062832800852,0.3700149925037481,0.6939896482518221,0.7291717609250009,0.2309815299695704,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200320072856343530.1003000225002.png,5.0,6.0,5.5,2,0.0771245956420898,0.3557363370880267,0.5503234478702848,0.4240780911062907,0.3133197204115291,0.5292728989612843,0.2475224162340726,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200409104802496810.1203801020003.png.bmp,2.0,3.0,2.5,3,0.084132432937622,0.666343669250646,0.7076051977677299,0.3932861476238625,0.1895359978100191,0.5559608240459304,0.2154878713545925,3,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200416110930703890.1003000225002.png,3.0,,3.0,4,0.0778083801269531,0.6157323339643782,0.6195487008053487,0.5379392817189369,0.3450105763164731,0.6954638029994445,0.3147611618750464,6,2,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200331100140006240.1203801020003.png.bmp,3.0,5.0,4.0,3,0.0779972076416015,0.7335638730675346,0.7723859041016753,0.3814951527197501,0.3637627432808156,0.6708631174650592,0.1971362090567388,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200409093935803690.1203801020003.png.bmp,2.0,3.0,2.5,4,0.0750002861022949,0.7044268710255992,0.7422531132348682,0.4009551410261643,0.5179759424769841,0.7085398526456799,0.2379260161776153,3,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.202004040240155151.1003000225002.png,2.0,4.0,3.0,4,0.0770604610443115,0.6473553946282886,0.5901714285714286,0.0734796524919981,0.3446639634198947,0.7004010176361519,0.5289892922434056,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200405065153640420.1003000225002.png,5.0,6.0,5.5,5,0.081000804901123,0.6175257731958763,0.662528216704289,0.5355595667870036,0.4481883316274309,0.5900631370445261,0.5541127331375874,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200320170359875720.1003000225002.png,1.0,2.0,1.5,0,0.0749669075012207,0.4772600335115295,0.0734207389749702,0.0,0.2379960223506013,0.1841581696095498,0.0,4,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200322194859750610.1003000225002.png,3.0,4.0,3.5,4,0.0839967727661132,0.5039892383337972,0.7592417509690839,0.5608465608465608,0.3193026055216867,0.5963862535920954,0.2490767017843952,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200320011259312440.1003000225002.png,5.0,6.0,5.5,4,0.0909974575042724,0.7142857142857143,0.5925453966231284,0.3751991714467814,0.2461995333380471,0.688659648628666,0.6910181754014469,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.202004071718231126.1203801020003.png,2.0,4.0,3.0,3,0.0781145095825195,0.6473844763303581,0.2155231626345111,0.0073990184975462,0.650602902105048,0.7987752250215774,0.0476442994085253,3,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200326123552855170.1203801020003.png.bmp,1.0,,1.0,0,0.0829994678497314,0.3924381651109577,0.0442417001556786,0.0,0.291889168765743,0.4354354354354354,0.0,4,2,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200320103403375580.1003000225002.png,5.0,5.0,5.0,5,0.0802428722381591,0.7399032750721195,0.7798343256536371,0.509277031349968,0.5917331680483459,0.5257327486729748,0.2380105885535417,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200325125743092120.1203801020003.png.bmp,1.0,2.0,1.5,2,0.0730242729187011,0.6703155183515775,0.2798597809981569,0.0,0.3648863214080605,0.5977387186072107,0.0127908147849733,5,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200416020138312830.1003000225002.png,5.0,6.0,5.5,4,0.0760011672973632,0.3739990326221314,0.8956038021170879,0.6984414064577903,0.1697846196327488,0.618688254665203,0.5898617511520737,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200403175115515840.1003000225002.png,2.0,4.0,3.0,3,0.075031042098999,0.5508452535760728,0.5780588876772083,0.5359854236258731,0.3093905877250054,0.3203376555565225,0.0,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200321002029359840.1003000225002.png,2.0,4.0,3.0,0,0.0811727046966552,0.281240691093238,0.0238427585166182,0.0964866084863075,0.1099992560077375,0.3149910767400357,0.1864534054216415,3,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200325130756972300.1203801020003.png.bmp,5.0,5.0,5.0,4,0.0799996852874755,0.8289393477598294,0.8610599078341014,0.3904109589041096,0.5992438563327032,0.7939903325878364,0.08568002616184,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200325212815187370.1003000225002.png,3.0,5.0,4.0,4,0.0750000476837158,0.6497545008183306,0.8234025026477857,0.5897273052038264,0.3847281141534902,0.6859674348113317,0.4471761567899803,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200402113955515630.1003000225002.png,6.0,5.0,5.5,4,0.0790338516235351,0.6512578861282031,0.8181818181818182,0.6536312849162011,0.4339969998636301,0.6761252781105597,0.3499638964343431,6,4,train,COVID-19
