dataset,filename,raw_opc_score,raw_geo_score,scaled_opc_score,scaled_geo_score,rounded_opc_score,rounded_geo_score,subset,label,pred_time
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200321172326140930.1003000225002.png,0.4693497916062672,0.5915357520182927,2.8160987496376033,3.549214512109756,3,4,test,COVID-19,3.200838088989258
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200325102716421950.1203801020003.png.bmp,0.5955136604607105,0.6020857791105907,3.573081962764263,3.612514674663544,4,4,test,COVID-19,1.709139347076416
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200326172257446270.1203801020003.png.bmp,0.7073282838488618,0.5994695251186688,4.243969703093171,3.596817150712013,4,4,test,COVID-19,1.6929986476898193
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.202004081114029075.1203801020003.png.bmp,0.40403082966804504,0.4647214785218239,2.4241849780082703,2.7883288711309433,2,3,test,COVID-19,1.6550369262695312
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200415105839964650.1203801020003.png.bmp,0.4850433220465977,0.5347655216852825,2.9102599322795863,3.208593130111695,3,3,test,COVID-19,1.6680009365081787
chest_xray_normal,IM-0069-0001.png,0.5042258749405544,0.47778895994027454,3.0253552496433262,2.8667337596416473,3,3,test,Normal,1.6028504371643066
chest_xray_normal,IM-0227-0001.png,0.43029656757911044,0.3985857293009758,2.581779405474663,2.391514375805855,3,2,test,Normal,1.6660008430480957
chest_xray_normal,IM-0350-0001.png,0.49091099078456557,0.43552344044049573,2.9454659447073936,2.6131406426429744,3,3,test,Normal,1.625999927520752
chest_xray_normal,IM-0351-0001.png,0.4427262743314107,0.429151934882005,2.6563576459884644,2.57491160929203,3,3,test,Normal,2.2169928550720215
chest_xray_normal,IM-0382-0001.png,0.46989261855681735,0.5028701747457186,2.8193557113409042,3.017221048474312,3,3,test,Normal,2.1100003719329834
chest_xray_normal,IM-0430-0001.png,0.5365244292964538,0.5815806910395622,3.2191465757787228,3.4894841462373734,3,3,test,Normal,2.0489983558654785
chest_xray_normal,IM-0439-0001.png,0.45544093350569403,0.4842815871040026,2.7326456010341644,2.905689522624016,3,3,test,Normal,1.6830804347991943
